trip_id,date_time,city_zone,vehicle_type,trip_distance_km,trip_duration_minutes,average_speed_kmph,weather_condition,traffic_level,helmet_used,accident_reported,safety_risk_level
50,03-01-2024 01:00,Tourist Area,E-Bike,9.42,23.6,21.5,Clear,Medium,Yes,Yes,Medium
51,03-01-2024 02:00,University Zone,Bicycle,3.54,32.6,11.9,Foggy,Medium,No,No,Medium
52,03-01-2024 03:00,University Zone,Bicycle,9.64,25.5,28.5,Hot,Medium,No,No,Medium
53,03-01-2024 04:00,Tourist Area,E-Scooter,4.63,29.8,15.8,Clear,Medium,No,No,Low
54,03-01-2024 05:00,IT Hub,E-Bike,1.59,38.7,21.4,Hot,High,No,No,High
55,03-01-2024 06:00,Commercial,E-Bike,3.55,27,23.4,Hot,Medium,Yes,No,Medium
56,03-01-2024 07:00,University Zone,E-Scooter,3.78,27.4,20.5,Hot,Low,No,No,High
57,03-01-2024 08:00,Tourist Area,Bicycle,5.22,12.4,12.8,Hot,High,Yes,No,High
58,03-01-2024 09:00,Residential,Bicycle,2.54,49.5,20.4,Rainy,High,Yes,No,Low
59,03-01-2024 10:00,Tourist Area,E-Scooter,2,33.5,13.5,Foggy,High,Yes,No,Low
60,03-01-2024 11:00,IT Hub,E-Bike,2.98,20.2,8.2,Clear,High,Yes,No,High
61,03-01-2024 12:00,Residential,E-Scooter,8.9,21.7,10,Hot,High,Yes,No,Medium
62,03-01-2024 13:00,IT Hub,Bicycle,1.13,7.4,13.1,Rainy,Low,Yes,No,Low
63,03-01-2024 14:00,University Zone,Bicycle,5.68,24.1,29.3,Rainy,Medium,Yes,No,Low
64,03-01-2024 15:00,Commercial,Bicycle,3.88,20.1,24.3,Rainy,Medium,Yes,Yes,Low
65,03-01-2024 16:00,Residential,E-Scooter,4.65,40.7,8.2,Clear,Medium,Yes,No,Medium
66,03-01-2024 17:00,University Zone,E-Bike,7.36,24.1,24.5,Hot,Medium,Yes,No,Medium
67,03-01-2024 18:00,IT Hub,Bicycle,9.69,27.1,25.1,Rainy,Low,Yes,No,Low
68,03-01-2024 19:00,Residential,E-Bike,9.52,47.3,17.2,Foggy,Medium,Yes,No,High
69,03-01-2024 20:00,Residential,Bicycle,7.62,48,18,Clear,High,No,No,Medium
70,03-01-2024 21:00,Tourist Area,Bicycle,2.52,27.1,27.3,Rainy,Medium,No,No,Low
71,03-01-2024 22:00,University Zone,Bicycle,2.41,41.9,17.4,Clear,Low,Yes,No,Low
72,03-01-2024 23:00,Residential,Bicycle,3.12,19.1,15.4,Clear,Medium,Yes,No,Medium
73,04-01-2024 00:00,Commercial,E-Bike,7.61,7,9.7,Rainy,High,No,No,Low
74,04-01-2024 01:00,Commercial,E-Scooter,3.87,9.5,29.8,Hot,Medium,No,No,Low
75,04-01-2024 02:00,Tourist Area,Bicycle,2.98,12.6,12.5,Hot,Medium,Yes,Yes,Medium
76,04-01-2024 03:00,Residential,E-Bike,4.58,19.4,28.6,Foggy,Medium,No,No,Medium
77,04-01-2024 04:00,Tourist Area,Bicycle,0.64,21.4,18.2,Rainy,High,Yes,No,High
78,04-01-2024 05:00,Tourist Area,E-Scooter,6.27,17.5,18.7,Clear,Medium,Yes,No,High
79,04-01-2024 06:00,Tourist Area,Bicycle,4.94,36.2,29,Hot,Low,Yes,No,Low
80,04-01-2024 07:00,Residential,Bicycle,9.26,33,24.3,Foggy,High,No,No,Medium
81,04-01-2024 08:00,Residential,E-Scooter,3.95,28.7,18.3,Foggy,High,Yes,No,Medium
82,04-01-2024 09:00,IT Hub,Bicycle,0.77,18.4,12.7,Clear,High,No,No,High
83,04-01-2024 10:00,Tourist Area,E-Bike,7.37,35.8,8.4,Hot,Low,Yes,No,Medium
84,04-01-2024 11:00,Tourist Area,Bicycle,6.27,7.7,26,Foggy,Low,No,No,High
85,04-01-2024 12:00,Tourist Area,E-Scooter,4.87,36.3,8,Hot,High,Yes,No,Medium
86,04-01-2024 13:00,Tourist Area,E-Scooter,9.3,57.9,18.2,Hot,Medium,Yes,No,Medium
87,04-01-2024 14:00,Commercial,Bicycle,5.45,49.6,24,Rainy,Medium,No,No,Low
88,04-01-2024 15:00,Residential,Bicycle,2.99,38.3,24.2,Clear,Low,Yes,No,Medium
89,04-01-2024 16:00,Tourist Area,Bicycle,9.09,22.8,9.8,Hot,Medium,No,No,Medium
90,04-01-2024 17:00,Residential,Bicycle,4.91,56.2,12.3,Rainy,Low,Yes,No,High
91,04-01-2024 18:00,University Zone,E-Scooter,7.44,53.7,9.6,Hot,Medium,Yes,No,Low
92,04-01-2024 19:00,Tourist Area,E-Scooter,4.94,54.6,19.1,Rainy,High,No,No,Medium
93,04-01-2024 20:00,Residential,E-Bike,4.05,34.2,9.4,Rainy,High,No,No,Low
94,04-01-2024 21:00,IT Hub,Bicycle,0.75,42,20.3,Rainy,Low,No,No,High
95,04-01-2024 22:00,Tourist Area,E-Scooter,8.1,38.5,8,Foggy,High,Yes,No,High
96,04-01-2024 23:00,University Zone,Bicycle,7.17,50.6,10.4,Rainy,High,No,No,Medium
97,05-01-2024 00:00,Tourist Area,E-Bike,1.57,29.4,29.4,Hot,High,Yes,No,Low
98,05-01-2024 01:00,Residential,E-Scooter,5.24,40,26.5,Foggy,Medium,Yes,No,Low
99,05-01-2024 02:00,Commercial,E-Scooter,6.74,44.2,23.4,Hot,Low,Yes,No,Low
100,05-01-2024 03:00,Commercial,E-Bike,5.08,6.3,21.9,Hot,High,Yes,No,High
101,05-01-2024 04:00,Tourist Area,E-Bike,9.21,55,22.3,Rainy,Low,Yes,No,Medium
102,05-01-2024 05:00,Commercial,E-Bike,7.34,51.8,12.9,Hot,High,Yes,No,Medium
103,05-01-2024 06:00,Residential,Bicycle,1.39,52.3,14.1,Clear,Low,Yes,No,Low
104,05-01-2024 07:00,Residential,Bicycle,8.71,18.6,24.7,Clear,High,Yes,Yes,High
105,05-01-2024 08:00,Commercial,E-Bike,5.37,26.7,25.3,Rainy,Low,No,No,Medium
106,05-01-2024 09:00,Tourist Area,E-Bike,8.98,58,16.5,Foggy,Low,Yes,No,Low
107,05-01-2024 10:00,Residential,E-Scooter,8.48,28.5,25.2,Foggy,Low,Yes,No,Medium
108,05-01-2024 11:00,Tourist Area,E-Bike,9.25,47.3,13.2,Foggy,Medium,Yes,No,High
109,05-01-2024 12:00,University Zone,E-Bike,9.52,36.9,13.3,Foggy,Medium,Yes,No,Low
110,05-01-2024 13:00,University Zone,E-Scooter,7.96,52.9,22,Foggy,Medium,No,No,Medium
111,05-01-2024 14:00,Residential,E-Bike,7.45,56.6,19.1,Hot,High,No,No,Low
112,05-01-2024 15:00,University Zone,E-Scooter,5.16,32,19.2,Rainy,High,Yes,No,High
113,05-01-2024 16:00,University Zone,E-Bike,9.89,42.3,12.9,Clear,High,Yes,No,Medium
114,05-01-2024 17:00,Tourist Area,E-Bike,5.09,29.1,25.5,Clear,Low,No,No,Low
115,05-01-2024 18:00,University Zone,E-Scooter,7.15,50.7,26.4,Foggy,Low,Yes,Yes,Low
116,05-01-2024 19:00,Tourist Area,Bicycle,8.33,43.2,28.8,Clear,High,Yes,No,Medium
117,05-01-2024 20:00,Commercial,E-Bike,2.76,32.4,25.6,Hot,High,Yes,No,High
118,05-01-2024 21:00,University Zone,Bicycle,6.94,39.4,21.6,Clear,Medium,Yes,No,Low
119,05-01-2024 22:00,University Zone,E-Scooter,5.41,49,25.1,Rainy,Low,Yes,No,High
120,05-01-2024 23:00,University Zone,E-Bike,8.28,40.8,8.2,Foggy,Low,Yes,No,Low
121,06-01-2024 00:00,University Zone,E-Scooter,5.02,18.8,9.8,Foggy,Medium,No,No,Low
122,06-01-2024 01:00,Commercial,E-Scooter,8.07,48.5,22.8,Hot,Medium,No,No,Medium
123,06-01-2024 02:00,Commercial,Bicycle,2.49,16.1,19.5,Foggy,Low,Yes,No,Low
124,06-01-2024 03:00,Residential,E-Bike,4.5,39.3,26.1,Hot,Medium,Yes,Yes,Low
125,06-01-2024 04:00,Commercial,E-Bike,1.54,16.9,26,Hot,High,No,No,High
126,06-01-2024 05:00,Commercial,Bicycle,2.7,53.5,11.9,Foggy,High,Yes,No,Low
127,06-01-2024 06:00,University Zone,E-Bike,1.9,10.2,24.9,Rainy,Medium,No,Yes,Medium
128,06-01-2024 07:00,IT Hub,E-Bike,8.18,25.2,26.2,Hot,High,Yes,No,Low
129,06-01-2024 08:00,IT Hub,Bicycle,5.65,40,21.8,Clear,Medium,No,Yes,Low
130,06-01-2024 09:00,Commercial,E-Bike,7.5,50.6,9.9,Rainy,Low,Yes,No,Medium
131,06-01-2024 10:00,Residential,Bicycle,7.57,59.4,28.2,Foggy,Medium,No,No,Low
132,06-01-2024 11:00,Commercial,Bicycle,3.17,49.4,22.7,Rainy,High,Yes,No,High
133,06-01-2024 12:00,IT Hub,E-Scooter,6.27,13.4,20.8,Foggy,High,No,No,Medium
134,06-01-2024 13:00,University Zone,Bicycle,5.91,56,9.6,Foggy,Low,Yes,No,Low
135,06-01-2024 14:00,University Zone,Bicycle,5.16,17.6,17.8,Rainy,Low,Yes,No,Low
136,06-01-2024 15:00,Residential,E-Scooter,1.13,10.1,18.5,Rainy,Medium,No,No,Low
137,06-01-2024 16:00,IT Hub,E-Scooter,3.91,22.4,15.7,Rainy,High,Yes,No,Low
138,06-01-2024 17:00,Tourist Area,Bicycle,6.91,15.4,14.6,Rainy,High,No,No,High
139,06-01-2024 18:00,Residential,Bicycle,2.16,27.4,24.9,Hot,Low,Yes,No,High
140,06-01-2024 19:00,University Zone,E-Scooter,1.02,42,9.1,Clear,High,Yes,No,Low
141,06-01-2024 20:00,Tourist Area,E-Scooter,4.07,54.5,25.9,Foggy,Medium,Yes,No,Medium
142,06-01-2024 21:00,Residential,E-Scooter,1.21,37.8,28.2,Rainy,Medium,Yes,No,Low
143,06-01-2024 22:00,Residential,E-Scooter,7.85,42.5,25.8,Hot,Low,Yes,No,Medium
144,06-01-2024 23:00,Commercial,Bicycle,8.43,21.2,12.9,Hot,Medium,Yes,No,Low
145,07-01-2024 00:00,Residential,E-Bike,7.4,27.9,17.6,Rainy,Low,Yes,Yes,Low
146,07-01-2024 01:00,Tourist Area,E-Bike,3.58,28.7,19,Foggy,Low,No,No,High
147,07-01-2024 02:00,Residential,E-Bike,8.81,31.9,26.3,Hot,Low,Yes,No,High
148,07-01-2024 03:00,Commercial,Bicycle,0.87,18.7,20.5,Foggy,Medium,No,Yes,Low
149,07-01-2024 04:00,Residential,Bicycle,3.64,9.3,19.2,Clear,Low,Yes,No,Low
150,07-01-2024 05:00,IT Hub,E-Scooter,1.91,12.7,15.8,Foggy,Low,No,No,Medium
151,07-01-2024 06:00,IT Hub,Bicycle,7.84,20.1,15.9,Foggy,Medium,Yes,No,Low
152,07-01-2024 07:00,IT Hub,E-Bike,8.84,15,21.9,Rainy,Low,No,No,Medium
153,07-01-2024 08:00,Residential,Bicycle,6.58,53.7,20.7,Clear,Low,Yes,Yes,High
154,07-01-2024 09:00,Tourist Area,E-Scooter,7.83,48.4,29.5,Rainy,High,Yes,No,Low
155,07-01-2024 10:00,IT Hub,E-Scooter,3.51,17.2,27.2,Rainy,Low,Yes,No,Low
156,07-01-2024 11:00,Tourist Area,Bicycle,5.11,23.6,23.9,Foggy,High,No,No,Low
157,07-01-2024 12:00,Residential,Bicycle,4.6,44.5,11.7,Clear,High,No,No,Low
158,07-01-2024 13:00,Residential,E-Scooter,2.53,20.3,22.6,Foggy,Low,Yes,No,Low
159,07-01-2024 14:00,Tourist Area,Bicycle,8.58,10.7,19.8,Foggy,High,Yes,No,Medium
160,07-01-2024 15:00,Tourist Area,E-Bike,5.62,58.7,19.4,Foggy,Low,Yes,No,Low
161,07-01-2024 16:00,IT Hub,E-Bike,0.83,21.1,9.7,Hot,Low,Yes,No,Low
162,07-01-2024 17:00,University Zone,E-Scooter,3.07,18,29,Clear,Low,Yes,Yes,Low
163,07-01-2024 18:00,Commercial,Bicycle,1.69,50.8,22.7,Foggy,Medium,Yes,No,Medium
164,07-01-2024 19:00,Tourist Area,E-Bike,1.94,44.5,28.6,Hot,Medium,Yes,No,Low
165,07-01-2024 20:00,IT Hub,Bicycle,6.21,59.5,21.9,Clear,High,Yes,No,Low
166,07-01-2024 21:00,Tourist Area,E-Bike,1.07,25.5,26.9,Hot,Medium,Yes,No,Medium
167,07-01-2024 22:00,IT Hub,Bicycle,0.53,22.4,19,Clear,Low,No,No,Low
168,07-01-2024 23:00,IT Hub,E-Scooter,8.66,23.8,21.7,Hot,High,Yes,No,High
169,08-01-2024 00:00,Tourist Area,Bicycle,3.26,15.4,21.5,Foggy,High,No,Yes,Low
170,08-01-2024 01:00,Residential,Bicycle,7.34,46.6,26.5,Rainy,Low,Yes,No,Low
171,08-01-2024 02:00,Tourist Area,E-Scooter,7.11,26,10.3,Clear,Medium,No,No,High
172,08-01-2024 03:00,Residential,E-Scooter,4.53,12.9,27.2,Hot,Medium,No,No,Low
173,08-01-2024 04:00,Tourist Area,E-Bike,5.59,49.5,11.3,Hot,Low,Yes,Yes,Low
174,08-01-2024 05:00,Tourist Area,E-Scooter,4.29,34.5,9.9,Clear,Medium,Yes,Yes,High
175,08-01-2024 06:00,Tourist Area,E-Bike,1.69,45,29.5,Clear,Medium,Yes,No,High
176,08-01-2024 07:00,Tourist Area,E-Bike,8.54,22.9,21.3,Clear,High,Yes,No,Medium
177,08-01-2024 08:00,Commercial,E-Bike,6.73,21.9,27.6,Hot,Medium,Yes,No,Low
178,08-01-2024 09:00,Commercial,E-Scooter,2.73,13.5,16.1,Rainy,Low,No,No,Low
179,08-01-2024 10:00,University Zone,E-Bike,9.64,41.9,17.9,Rainy,Medium,Yes,Yes,Medium
180,08-01-2024 11:00,University Zone,E-Bike,2.01,47.9,9.6,Rainy,High,No,No,Low
181,08-01-2024 12:00,Commercial,E-Scooter,6.89,57.8,28.3,Clear,Low,No,No,Low
182,08-01-2024 13:00,Commercial,E-Scooter,1.4,28.5,16,Hot,Medium,Yes,Yes,Medium
183,08-01-2024 14:00,University Zone,E-Bike,7.79,53.4,27.1,Hot,Medium,Yes,No,High
184,08-01-2024 15:00,Residential,E-Scooter,2.41,20.4,27.7,Foggy,Low,Yes,No,Medium
185,08-01-2024 16:00,IT Hub,E-Scooter,1.33,29.6,10.9,Clear,Medium,Yes,No,Medium
186,08-01-2024 17:00,Residential,Bicycle,3.32,45.2,17.9,Rainy,Low,No,No,Low
187,08-01-2024 18:00,University Zone,E-Scooter,1.22,43.6,14.4,Hot,High,Yes,No,Low
188,08-01-2024 19:00,Residential,Bicycle,8.14,30.3,12.6,Clear,High,Yes,No,Low
189,08-01-2024 20:00,Tourist Area,Bicycle,7.98,11,18.3,Clear,Low,Yes,No,Medium
190,08-01-2024 21:00,University Zone,E-Scooter,9.02,53.5,26.1,Rainy,Low,Yes,Yes,Low
191,08-01-2024 22:00,IT Hub,Bicycle,8.95,30.1,20.1,Hot,Medium,Yes,No,High
192,08-01-2024 23:00,IT Hub,E-Bike,8.35,20,14.2,Hot,Low,Yes,No,Low
193,09-01-2024 00:00,University Zone,E-Bike,3.54,47.8,12.7,Clear,Medium,Yes,No,Low
194,09-01-2024 01:00,Tourist Area,E-Bike,8.47,7.1,27.5,Rainy,Medium,No,No,High
195,09-01-2024 02:00,Commercial,Bicycle,3.66,38.1,21.8,Hot,Low,Yes,No,Medium
196,09-01-2024 03:00,Tourist Area,Bicycle,1.52,33.4,26.3,Clear,Medium,Yes,No,Low
197,09-01-2024 04:00,Tourist Area,E-Scooter,8.52,27.4,24.5,Rainy,Medium,No,Yes,Medium
198,09-01-2024 05:00,IT Hub,Bicycle,3.93,23.3,10.7,Foggy,Medium,No,No,High
199,09-01-2024 06:00,Residential,E-Bike,3.89,5.6,19.6,Hot,Medium,No,No,Low
200,09-01-2024 07:00,Residential,Bicycle,6.87,28.2,24.1,Rainy,Low,Yes,No,Medium
201,09-01-2024 08:00,Residential,E-Bike,3.66,51.4,9.5,Foggy,Medium,Yes,No,Low
202,09-01-2024 09:00,IT Hub,E-Bike,3.36,17,10.5,Foggy,Medium,Yes,No,High
203,09-01-2024 10:00,IT Hub,E-Scooter,4.55,34.2,26.8,Hot,Low,Yes,No,High
204,09-01-2024 11:00,IT Hub,E-Scooter,6.01,22.4,17.4,Foggy,Low,Yes,No,Low
205,09-01-2024 12:00,Commercial,Bicycle,2.61,31.3,25.9,Clear,Low,No,Yes,Low
206,09-01-2024 13:00,Commercial,Bicycle,8.6,27,28.3,Rainy,High,No,No,Medium
207,09-01-2024 14:00,Residential,E-Scooter,9.7,33.2,29.7,Foggy,Medium,No,No,Medium
208,09-01-2024 15:00,Tourist Area,Bicycle,3.64,42.9,27,Rainy,Low,Yes,No,Low
209,09-01-2024 16:00,Tourist Area,E-Bike,5.98,9.9,17.7,Foggy,Low,No,Yes,Low
210,09-01-2024 17:00,Tourist Area,E-Bike,9.75,31.8,13.8,Rainy,High,Yes,Yes,High
211,09-01-2024 18:00,Residential,Bicycle,8.4,55.8,10.5,Hot,High,Yes,No,High
212,09-01-2024 19:00,Tourist Area,Bicycle,6.93,59.8,21.8,Clear,Medium,Yes,No,High
213,09-01-2024 20:00,Residential,Bicycle,2.96,15.5,27.3,Foggy,High,No,No,High
214,09-01-2024 21:00,IT Hub,E-Bike,5.85,14.8,19.2,Clear,Low,No,No,Medium
215,09-01-2024 22:00,University Zone,E-Bike,1.16,6.1,21.3,Hot,Low,No,No,High
216,09-01-2024 23:00,Residential,Bicycle,2.32,59.8,20.3,Rainy,Medium,Yes,No,Low
217,10-01-2024 00:00,Commercial,E-Scooter,0.6,55.9,22.8,Hot,Low,No,No,Low
218,10-01-2024 01:00,Residential,Bicycle,8.71,51.8,12.1,Rainy,Medium,Yes,No,Low
219,10-01-2024 02:00,University Zone,E-Bike,3.11,53.1,23.4,Foggy,Low,Yes,No,Low
220,10-01-2024 03:00,IT Hub,E-Scooter,2.68,22.4,28.1,Foggy,High,Yes,No,Low
221,10-01-2024 04:00,Commercial,E-Bike,9.1,33.7,28.9,Clear,High,No,No,Low
222,10-01-2024 05:00,Residential,Bicycle,5.04,49.7,28.7,Rainy,Medium,No,No,Low
223,10-01-2024 06:00,IT Hub,E-Scooter,3.34,19.2,21.1,Clear,Low,Yes,No,Medium
224,10-01-2024 07:00,University Zone,Bicycle,0.99,33.3,17.3,Hot,Medium,Yes,No,Medium
225,10-01-2024 08:00,University Zone,Bicycle,0.73,10.5,17,Rainy,Low,No,No,High
226,10-01-2024 09:00,University Zone,E-Bike,0.7,32.9,9.1,Rainy,High,Yes,No,High
227,10-01-2024 10:00,Tourist Area,E-Bike,6.39,42.8,15.5,Clear,High,Yes,No,High
228,10-01-2024 11:00,Tourist Area,E-Scooter,8.77,20.4,21.5,Clear,Low,Yes,No,Low
229,10-01-2024 12:00,Residential,Bicycle,6.72,14.2,18.9,Clear,Medium,Yes,No,Low
230,10-01-2024 13:00,University Zone,Bicycle,4.58,53.7,17,Foggy,High,No,No,Medium
231,10-01-2024 14:00,Commercial,Bicycle,7.06,36.1,9.5,Foggy,Medium,Yes,No,Low
232,10-01-2024 15:00,University Zone,Bicycle,5.02,43.5,22.4,Hot,Low,No,No,High
233,10-01-2024 16:00,Commercial,E-Scooter,1.58,31.7,27.4,Hot,Low,No,No,Medium
234,10-01-2024 17:00,Commercial,E-Bike,4.24,11.3,9,Foggy,Low,Yes,No,High
235,10-01-2024 18:00,Commercial,E-Scooter,2.89,8,10.4,Foggy,Low,Yes,No,Medium
236,10-01-2024 19:00,Residential,E-Scooter,4.31,52.2,27.7,Foggy,Low,Yes,No,Low
237,10-01-2024 20:00,Commercial,Bicycle,8.13,34.4,18.3,Foggy,Low,Yes,Yes,High
238,10-01-2024 21:00,University Zone,E-Bike,5.34,52.7,22.4,Rainy,High,No,No,Low
239,10-01-2024 22:00,Tourist Area,E-Scooter,2.55,54,28,Foggy,Low,No,No,Low
240,10-01-2024 23:00,IT Hub,E-Scooter,5.51,44.5,21.5,Clear,Low,No,No,Low
241,11-01-2024 00:00,University Zone,Bicycle,5.5,37.2,24.4,Clear,Medium,No,Yes,Low
242,11-01-2024 01:00,Commercial,Bicycle,5.11,8.8,10.1,Hot,High,No,No,Low
243,11-01-2024 02:00,Residential,E-Bike,3.98,40.9,20,Hot,Medium,Yes,No,High
244,11-01-2024 03:00,IT Hub,E-Scooter,6.01,18,13.1,Foggy,High,Yes,No,Low
245,11-01-2024 04:00,IT Hub,E-Scooter,2.18,28.2,13.4,Hot,Medium,Yes,No,Low
246,11-01-2024 05:00,IT Hub,Bicycle,5.86,18.1,13.2,Foggy,Low,Yes,No,High
247,11-01-2024 06:00,IT Hub,Bicycle,1.3,5.2,26.8,Rainy,High,No,No,Medium
248,11-01-2024 07:00,Tourist Area,E-Scooter,7.01,19.6,17.7,Foggy,Medium,No,Yes,Low
249,11-01-2024 08:00,IT Hub,Bicycle,1.77,13.5,8.8,Clear,Low,Yes,Yes,Medium
250,11-01-2024 09:00,Residential,Bicycle,9.53,19.2,10.7,Rainy,Low,No,No,Medium
251,11-01-2024 10:00,Commercial,Bicycle,8.22,20.6,18.2,Hot,Medium,Yes,No,Low
252,11-01-2024 11:00,University Zone,E-Bike,4.64,38.9,21.7,Clear,Low,No,Yes,Low
253,11-01-2024 12:00,Residential,Bicycle,1.9,36.8,8,Hot,Medium,No,No,Low
254,11-01-2024 13:00,Residential,E-Scooter,9.35,11.4,11.6,Clear,Low,No,No,Medium
255,11-01-2024 14:00,IT Hub,E-Scooter,5.13,32.5,10.7,Rainy,High,Yes,No,High
256,11-01-2024 15:00,Commercial,E-Bike,0.7,6.9,16.8,Hot,Low,No,No,Low
257,11-01-2024 16:00,Tourist Area,Bicycle,1.68,20.6,14.9,Clear,Medium,Yes,No,Medium
258,11-01-2024 17:00,Residential,E-Bike,5.31,47.6,23.3,Hot,Medium,No,No,High
259,11-01-2024 18:00,Tourist Area,E-Scooter,4.79,18.2,29.6,Foggy,High,Yes,No,Medium
260,11-01-2024 19:00,Tourist Area,Bicycle,8.7,18.5,24.9,Foggy,Low,Yes,No,Low
261,11-01-2024 20:00,Tourist Area,E-Scooter,8.77,31.4,29.1,Foggy,High,No,No,High
262,11-01-2024 21:00,Residential,E-Bike,9.55,42.5,22.2,Hot,Medium,No,No,High
263,11-01-2024 22:00,Residential,E-Bike,5.01,26.2,17,Rainy,Low,Yes,No,Low
